年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 木 1F,ウ 木 4F,ウ 木 5F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路TIME,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,本命候補判定,相手候補判定,ZI,脚質,枠
20260712,函館,1,1,未勝利,ダ,1000,ニシノギャルズ,牝,横山琉人,水野貴広,美,セイウンコウセイ,1,函館ダ1000,1,R8.7.12,ニシノギャルズ46214,ニシノギャルズ46211,ニシノギャルズ46212,ニシノギャルズ46207,ニシノギャルズ46208,ニシノギャルズ46200,ニシノギャルズ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,68.9,15.8,16.5,なし,なし,なし,なし,15.5,15.4,15.5,0,16,0,11.9,54.4,70.1,なし,なし,なし,なし,〇,なし,〇,なし,×,なし,×,×,なし,×,なし,なし,×,なし,×,×,なし,×,なし,なし,なし,96,先,1
20260712,函館,1,2,未勝利,ダ,1000,クリコイーコ,牝,河原田菜,荒川義之,栗,ディーマジェスティ,1,函館ダ1000,2,R8.7.12,クリコイーコ46214,クリコイーコ46211,クリコイーコ46212,クリコイーコ46207,クリコイーコ46208,クリコイーコ46200,クリコイーコ46201,64.4,15.3,15.5,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,102,　,2
20260712,函館,1,3,未勝利,ダ,1000,トリアングルレディ,牝,長浜鴻緒,尾関知人,美,ダノンバラード,1,函館ダ1000,1,R8.7.12,トリアングルレディ46214,トリアングルレディ46211,トリアングルレディ46212,トリアングルレディ46207,トリアングルレディ46208,トリアングルレディ46200,トリアングルレディ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,95,差,3
20260712,函館,1,4,未勝利,ダ,1000,ビタミンドロップ,牡,丹内祐次,松山将樹,美,エスポワールシチー,1,函館ダ1000,1,R8.7.12,ビタミンドロップ46214,ビタミンドロップ46211,ビタミンドロップ46212,ビタミンドロップ46207,ビタミンドロップ46208,ビタミンドロップ46200,ビタミンドロップ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,121,先,4
20260712,函館,1,5,未勝利,ダ,1000,ヒューザー,牡,古川奈穂,小林真也,栗,ヘニーヒューズ,1,函館ダ1000,2,R8.7.12,ヒューザー46214,ヒューザー46211,ヒューザー46212,ヒューザー46207,ヒューザー46208,ヒューザー46200,ヒューザー46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,99,差,5
20260712,函館,1,6,未勝利,ダ,1000,スイーヴル,牝,武豊,小椋研介,栗,タワーオブロンドン,1,函館ダ1000,2,R8.7.12,スイーヴル46214,スイーヴル46211,スイーヴル46212,スイーヴル46207,スイーヴル46208,スイーヴル46200,スイーヴル46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,120,差,5
20260712,函館,1,7,未勝利,ダ,1000,マーゴットオネイロ,牡,横山武史,小林真也,栗,ゴールドドリーム,1,函館ダ1000,2,R8.7.12,マーゴットオネイロ46214,マーゴットオネイロ46211,マーゴットオネイロ46212,マーゴットオネイロ46207,マーゴットオネイロ46208,マーゴットオネイロ46200,マーゴットオネイロ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,117,先,6
20260712,函館,1,8,未勝利,ダ,1000,アジーザム,牝,北村友一,松尾卓哉,美,ドレフォン,1,函館ダ1000,1,R8.7.12,アジーザム46214,アジーザム46211,アジーザム46212,アジーザム46207,アジーザム46208,アジーザム46200,アジーザム46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,96,差,6
20260712,函館,1,9,未勝利,ダ,1000,ホワイトラバーズ,牝,古川吉洋,大根田裕,栗,ディーマジェスティ,1,函館ダ1000,2,R8.7.12,ホワイトラバーズ46214,ホワイトラバーズ46211,ホワイトラバーズ46212,ホワイトラバーズ46207,ホワイトラバーズ46208,ホワイトラバーズ46200,ホワイトラバーズ46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,99,追,7
20260712,函館,1,10,未勝利,ダ,1000,スプリングドリーム,牝,黛弘人,加藤士津,美,モズアスコット,1,函館ダ1000,1,R8.7.12,スプリングドリーム46214,スプリングドリーム46211,スプリングドリーム46212,スプリングドリーム46207,スプリングドリーム46208,スプリングドリーム46200,スプリングドリーム46201,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,95,逃,7
