レースID,クッション値
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,11.2
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,10.1
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,9.6
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.6
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
2.02009E+17,10.5
