競馬場,距離,馬番,出走数,勝利数,勝率,平均勝率,p値,コースID
中京,1200,1,270,26,9.6%,6.8%,0.047123682,中京ダ1200
中山,1200,12,755,67,8.9%,6.4%,0.005508091,中山ダ1200
中山,1200,15,705,62,8.8%,6.4%,0.008776255,中山ダ1200
中山,1800,12,777,75,9.7%,6.9%,0.0023396,中山ダ1800
京都,1800,6,444,48,10.8%,7.7%,0.011962128,京都ダ1800
新潟,2500,10,8,3,37.5%,8.6%,0.02537756,新潟ダ2500
札幌,1000,10,95,15,15.8%,8.7%,0.017573184,札幌ダ1000
札幌,1700,7,291,32,11.0%,7.7%,0.025726445,札幌ダ1700
東京,1400,7,557,48,8.6%,6.5%,0.027135655,東京ダ1400
東京,1400,14,525,44,8.4%,6.5%,0.048235742,東京ダ1400
東京,1600,16,424,43,10.1%,6.8%,0.005552903,東京ダ1600
東京,1600,12,623,57,9.1%,6.8%,0.013353733,東京ダ1600
東京,2100,4,224,23,10.3%,6.9%,0.036141927,東京ダ2100
福島,1700,2,322,32,9.9%,7.0%,0.027505752,福島ダ1700
福島,2400,4,11,3,27.3%,7.6%,0.046202272,福島ダ2400
阪神,1200,5,373,40,10.7%,6.8%,0.003534393,阪神ダ1200
阪神,1200,12,332,34,10.2%,6.8%,0.012953878,阪神ダ1200
阪神,1400,8,450,40,8.9%,6.8%,0.048701298,阪神ダ1400
阪神,1800,4,700,72,10.3%,7.9%,0.01587969,阪神ダ1800
阪神,2000,4,123,16,13.0%,7.9%,0.033966894,阪神ダ2000
