﻿表面,父馬名,騎手,件数,複勝率,父馬他騎手複勝率,騎手他父馬複勝率,父馬比差pt,騎手比差pt,父馬比z,騎手比z,判定
ダート,アイルハヴアナザー,秋山真一,30,40.0,18.56573705179283,18.36327345309381,21.434262948207174,21.63672654690619,2.9535402689120067,2.9005990474029417,◎
ダート,アジアエクスプレス,和田竜二,37,8.108108108108109,22.005988023952096,22.3982869379015,-13.897879915843989,-14.29017882979339,-2.0303730242916775,-2.0760154920731595,×
ダート,アジアエクスプレス,田辺裕信,54,44.44444444444444,21.137393054856567,29.3836026331538,23.307051389587873,15.060841811290643,4.096007153454426,2.3803049617666074,◎
ダート,アポロキングダム,丸山元気,31,6.451612903225806,21.601941747572813,22.00956937799043,-15.150328844347008,-15.557956474764625,-2.01354504491962,-2.0800100095562533,×
ダート,アポロキングダム,吉田豊,38,36.84210526315789,19.012345679012345,18.14569536423841,17.829759584145545,18.696409898919484,2.6012053126483075,2.9251116977742075,◎
ダート,エスポワールシチー,藤岡康太,30,50.0,22.70773638968481,26.410658307210035,27.29226361031519,23.589341692789965,3.4996527484144546,2.8782456378742394,◎
ダート,エピファネイア,富田暁,30,33.33333333333333,18.62630966239814,18.53281853281853,14.707023670935193,14.800514800514799,2.0406692828225372,2.054527356845759,◎
ダート,オルフェーヴル,丸田恭介,31,38.70967741935484,21.48246782068353,11.687363038714391,17.227209598671305,27.022314380640445,2.3104673449211077,4.5321651218602375,◎
ダート,オルフェーヴル,吉田隼人,31,45.16129032258064,21.39369729249889,28.72777017783858,23.767593030081756,16.433520144742065,3.1876461041963418,1.9939864088197092,◎
ダート,カリフォルニアクローム,田口貫太,31,35.483870967741936,20.62111801242236,20.25405786873677,14.862752955319577,15.229813099005169,1.9877046077473774,2.0748541531542037,◎
ダート,カレンブラックヒル,菅原明良,53,41.509433962264154,21.114369501466275,24.550898203592812,20.395064460797876,16.95853575867134,3.5237125239803406,2.822168703528947,◎
ダート,キズナ,坂井瑠星,129,50.3875968992248,27.63474081702712,34.72762645914397,22.752856082197688,15.659970440080839,5.596172401534487,3.602149055014465,◎
ダート,キズナ,藤岡佑介,62,51.61290322580645,28.120805369127517,30.208333333333332,23.492097856678935,21.40456989247312,4.051500026770594,3.5294251078484224,◎
