年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路TIME,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260801,札幌,1,1,未勝利,ダ,1000,サンライズロイ,牡,舟山瑠泉,牧浦充徳,栗,フォーウィールドライブ,1,札幌ダ1000,2,R8.8.1,サンライズロイ46234,サンライズロイ46232,サンライズロイ46233,サンライズロイ46228,サンライズロイ46229,サンライズロイ46221,サンライズロイ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,113,先,1,2.02608E+17,23106556
20260801,札幌,1,2,未勝利,ダ,1000,アルデバローズ,牝,丹内祐次,矢野英一,美,ダノンスマッシュ,1,札幌ダ1000,1,R8.8.1,アルデバローズ46234,アルデバローズ46232,アルデバローズ46233,アルデバローズ46228,アルデバローズ46229,アルデバローズ46221,アルデバローズ46222,66.7,16.2,15.2,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,105,逃,2,2.02608E+17,23100285
20260801,札幌,1,3,未勝利,ダ,1000,ナブッコ,牡,横山武史,橋田宜長,栗,モーリス,1,札幌ダ1000,2,R8.8.1,ナブッコ46234,ナブッコ46232,ナブッコ46233,ナブッコ46228,ナブッコ46229,ナブッコ46221,ナブッコ46222,65.1,16.3,15.6,65.3,17.2,15.4,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,115,差,3,2.02608E+17,23104377
20260801,札幌,1,4,未勝利,ダ,1000,ペイシャクロス,牝,長浜鴻緒,粕谷昌央,美,ニシケンモノノフ,1,札幌ダ1000,1,R8.8.1,ペイシャクロス46234,ペイシャクロス46232,ペイシャクロス46233,ペイシャクロス46228,ペイシャクロス46229,ペイシャクロス46221,ペイシャクロス46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,105,先,4,2.02608E+17,23102999
20260801,札幌,1,5,未勝利,ダ,1000,フェアリーキャット,牝,古川奈穂,鈴木慎太,美,ディスクリートキャット,1,札幌ダ1000,1,R8.8.1,フェアリーキャット46234,フェアリーキャット46232,フェアリーキャット46233,フェアリーキャット46228,フェアリーキャット46229,フェアリーキャット46221,フェアリーキャット46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,101,逃,5,2.02608E+17,23104847
20260801,札幌,1,6,未勝利,ダ,1000,ヒューザー,牡,和田陽希,小林真也,栗,ヘニーヒューズ,1,札幌ダ1000,2,R8.8.1,ヒューザー46234,ヒューザー46232,ヒューザー46233,ヒューザー46228,ヒューザー46229,ヒューザー46221,ヒューザー46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,102,差,5,2.02608E+17,23104180
20260801,札幌,1,7,未勝利,ダ,1000,ドリームガッサン,牝,小林美駒,鈴木伸尋,美,キャプテンキング,1,札幌ダ1000,1,R8.8.1,ドリームガッサン46234,ドリームガッサン46232,ドリームガッサン46233,ドリームガッサン46228,ドリームガッサン46229,ドリームガッサン46221,ドリームガッサン46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,121,先,6,2.02608E+17,23102748
20260801,札幌,1,8,未勝利,ダ,1000,アトラップモア,牝,佐々木大,堀宣行,美,ヘニーヒューズ,1,札幌ダ1000,1,R8.8.1,アトラップモア46234,アトラップモア46232,アトラップモア46233,アトラップモア46228,アトラップモア46229,アトラップモア46221,アトラップモア46222,66.8,16.9,16.3,57.7,13.1,13.4,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,0,　,6,2.02608E+17,23102628
20260801,札幌,1,9,未勝利,ダ,1000,コシタンタン,牝,河原田菜,竹内正洋,美,フォーウィールドライブ,1,札幌ダ1000,1,R8.8.1,コシタンタン46234,コシタンタン46232,コシタンタン46233,コシタンタン46228,コシタンタン46229,コシタンタン46221,コシタンタン46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,105,先,7,2.02608E+17,23100977
20260801,札幌,1,10,未勝利,ダ,1000,サンタクローチェ,牝,荻野琢真,西村真幸,栗,フィレンツェファイア,1,札幌ダ1000,2,R8.8.1,サンタクローチェ46234,サンタクローチェ46232,サンタクローチェ46233,サンタクローチェ46228,サンタクローチェ46229,サンタクローチェ46221,サンタクローチェ46222,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,94,先,7,2.02608E+17,23102480
